date,run_id,item_id,vertical,source_id,stage,outcome,code,source_words,summary_words,source_words_before_cap,fetch_ms,extract_ms,summarize_ms,prefill_ms,decode_ms,input_tokens,output_tokens,cached_tokens,model_calls,call_1_kind,call_1_prefill_ms,call_1_decode_ms,call_1_input_tokens,call_1_output_tokens,call_1_cached_tokens
2026-09-01,2026-09-01-33484160918,india-9725847242,india,thehindu-biz,publish,ok,,103,53,103,94,40,66528,25602,40918,1173,240,922,,,,,,,
2026-09-01,2026-09-01-33484160918,india-2410409010,india,hindustan-times,publish,ok,,296,76,296,144,58,86379,45800,40569,1372,234,922,,,,,,,
2026-09-01,2026-09-01-33484160918,india-7850035734,india,scroll-in,publish,ok,,318,59,318,539,34,89518,49275,40233,1408,233,922,,,,,,,
2026-09-01,2026-09-01-33484160918,india-8023951223,india,india-today,publish,ok,,415,63,415,287,72,112311,65121,47181,1563,274,922,,,,,,,
2026-09-01,2026-09-01-33484160918,india-9323749778,india,et-default,publish,ok,,526,78,526,304,81,135759,90358,45390,1811,260,922,,,,,,,
2026-09-01,2026-09-01-33503888091,ai-6706320267,ai,fastcompany-tech,extract,failed,paywalled,,,,,,,,,,,,,,,,,,
2026-09-01,2026-09-01-33503888091,energy-3537819500,energy,solar-quarter,publish,ok,,331,49,331,497,97,171880,137963,33875,1367,183,0,,,,,,,
2026-09-01,2026-09-01-33503888091,energy-2484149389,energy,balkangreen,publish,ok,,465,76,465,3786,56,115827,68869,46946,1597,256,922,,,,,,,
2026-09-01,2026-09-01-33503888091,energy-8421605692,energy,power-magazine,publish,ok,,1369,98,1369,278,57,379308,319800,59400,3128,296,0,,,,,,,
2026-09-01,2026-09-01-33503888091,energy-0758559280,energy,energymonitor,publish,ok,,365,58,365,688,35,94738,55743,38985,1469,218,922,,,,,,,
2026-09-01,2026-09-01-33503888091,energy-1698906913,energy,modern-power,publish,ok,,391,141,391,781,31,125499,60565,64922,1513,348,922,,,,,,,
2026-09-01,2026-09-01-33503888091,energy-4554604567,energy,canary-media,publish,ok,,1259,130,1259,413,109,222328,167534,54734,2560,288,923,,,,,,,
2026-09-01,2026-09-01-33503888091,energy-1072236602,energy,energy-mix,publish,ok,,567,38,567,3359,64,112916,81408,31497,1717,166,922,,,,,,,
2026-09-01,2026-09-01-33503888091,energy-8544795936,energy,electrek,publish,ok,,1331,91,1331,540,44,342305,283300,58925,3671,307,923,,,,,,,
2026-09-01,2026-09-01-33503888091,business-economy-5384412957,business-economy,quartz,publish,ok,,386,68,386,311,53,101489,55758,45673,1467,249,922,,,,,,,
2026-09-01,2026-09-01-33503888091,business-economy-5184032630,business-economy,business-today-in,publish,ok,,99,56,99,278,90,50092,17712,32369,1095,182,922,,,,,,,
2026-09-01,2026-09-01-33503888091,business-economy-3482415452,business-economy,cna-business,publish,ok,,469,73,469,1692,101,100377,63382,36981,1543,211,922,,,,,,,
2026-09-01,2026-09-01-33503888091,business-economy-9858617334,business-economy,aljazeera-economy,publish,ok,,1195,133,1195,1609,39,228181,164663,63410,2532,338,923,,,,,,,
2026-09-01,2026-09-01-33503888091,business-economy-3762423209,business-economy,bbc-business,publish,ok,,911,127,911,541,67,191309,132212,59006,2211,308,923,,,,,,,
2026-09-01,2026-09-01-33503888091,business-economy-8468231114,business-economy,seekingalpha,fetch,failed,http_client_error,,,,,,,,,,,,,,,,,,
2026-09-01,2026-09-01-33503888091,world-7800549620,world,apnews-world,publish,ok,,309,63,309,247,176,77620,44106,33504,1356,193,922,,,,,,,
2026-09-01,2026-09-01-33503888091,world-3654116648,world,scmp-news,extract,failed,paywalled,,,,,,,,,,,,,,,,,,
2026-09-01,2026-09-01-33503888091,world-4179566362,world,euronews,publish,ok,,414,66,414,1546,62,97485,61855,35622,1531,203,922,,,,,,,
2026-09-01,2026-09-01-33503888091,world-2318926176,world,mongabay,publish,ok,,1394,128,1394,522,36,257476,203450,53917,2908,288,923,,,,,,,
2026-09-01,2026-09-01-33503888091,world-1212406698,world,euronews,publish,ok,,489,101,489,309,63,118351,71185,47155,1626,266,922,,,,,,,
2026-09-01,2026-09-01-33503888091,world-1321624099,world,lemonde-en,publish,ok,too_short,35,29,35,1583,116,119383,102861,16514,1015,94,0,,,,,,,
2026-09-01,2026-09-01-33503888091,world-5688968330,world,lemonde-en,publish,ok,too_short,35,29,35,660,5,26812,10049,16754,1019,96,922,,,,,,,
2026-09-01,2026-09-01-33503888091,world-3015489241,world,elpais-en,publish,ok,,814,133,814,1320,65,160107,107565,52380,1976,286,923,,,,,,,
2026-09-01,2026-09-01-33503888091,world-5351013464,world,africanews,publish,ok,,653,83,653,1494,36,137846,92332,45462,1834,257,922,,,,,,,
2026-09-01,2026-09-01-33503888091,world-1919313849,world,africanews,publish,ok,,149,71,149,1463,30,71005,27700,43220,1194,248,922,,,,,,,
2026-09-01,2026-09-01-33503888091,india-4581194852,india,toi-india,publish,ok,,647,81,647,729,111,138664,89074,49579,1797,280,922,,,,,,,
2026-09-01,2026-09-01-33503888091,india-0324630079,india,free-press-journal,publish,ok,,375,72,375,703,18,89447,50611,38771,1423,215,922,,,,,,,
2026-09-01,2026-09-01-33503888091,india-0228382093,india,ht-business,publish,ok,,1191,114,1191,1626,66,232190,161855,70246,2505,370,923,,,,,,,
2026-09-01,2026-09-01-33503888091,india-6137975971,india,deccan-chronicle,publish,ok,,361,61,361,2474,41,92917,52386,40522,1436,225,922,,,,,,,
2026-09-01,2026-09-01-33503888091,india-9718030305,india,mongabay-india,publish,ok,,1452,81,1452,977,41,271984,224626,47191,3117,248,923,,,,,,,
2026-09-01,2026-09-01-33503888091,india-6626646342,india,thehindu-all,publish,ok,,353,68,353,658,42,95689,55907,39772,1473,217,924,,,,,,,
2026-09-01,2026-09-01-33503888091,india-1864188189,india,livemint,publish,ok,,699,77,699,779,34,154509,111232,43264,1946,232,855,,,,,,,
2026-09-01,2026-09-01-33503888091,india-8983062398,india,dna-india,publish,ok,,409,88,409,4147,84,100069,57356,42657,1485,239,922,,,,,,,
2026-09-01,2026-09-01-33503888091,india-3892991853,india,dna-india,publish,ok,,266,61,266,2122,84,86618,45008,41600,1364,231,922,,,,,,,
2026-09-01,2026-09-01-33503888091,india-0351537679,india,livemint-markets,publish,ok,,1030,121,1030,1861,39,195174,140812,54223,2300,287,923,,,,,,,
2026-09-01,2026-09-01-33503888091,india-1849073759,india,et-default,publish,ok,,281,70,281,359,80,104080,54063,50007,1449,271,922,,,,,,,
2026-09-01,2026-09-01-33503888091,energy-5084907880,energy,inside-climate-news,publish,ok,,1538,129,1538,608,50,375084,306343,68682,3018,358,0,,,,,,,
2026-09-01,2026-09-01-33503888091,energy-3481938133,energy,oilprice,publish,ok,,353,65,353,907,51,202566,145683,56838,1437,248,0,,,,,,,
2026-09-01,2026-09-01-33503888091,energy-0764893119,energy,power-magazine,publish,ok,,1588,112,1588,556,55,278377,218882,59425,3076,316,923,,,,,,,
2026-09-01,2026-09-01-33503888091,energy-8693394013,energy,oilprice,publish,ok,,351,72,351,430,50,102340,52461,49869,1437,231,925,,,,,,,
2026-09-01,2026-09-01-33503888091,energy-1361625008,energy,energymonitor,publish,ok,,342,72,342,522,36,112286,57461,54812,1486,261,925,,,,,,,
2026-09-01,2026-09-01-33503888091,energy-0617648097,energy,grist,publish,ok,,1280,122,1280,627,48,223940,170187,53654,2596,289,923,,,,,,,
2026-09-01,2026-09-01-33503888091,energy-3203877565,energy,tdworld,publish,ok,,596,56,596,1005,58,127369,87598,39759,1779,194,922,,,,,,,
2026-09-01,2026-09-01-33503888091,energy-9777548607,energy,electrek,publish,ok,,669,77,669,915,34,179690,120955,58674,2108,283,922,,,,,,,
